timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623905782935,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782937,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782940,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782942,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782945,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782948,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782950,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782953,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782955,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782958,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782962,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782964,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782967,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782969,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782972,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782974,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782977,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782979,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782982,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782985,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782987,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782990,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782993,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782996,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782998,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783001,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783003,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783006,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783008,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783011,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783013,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783016,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783018,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783021,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783024,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783027,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783030,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783032,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783035,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783037,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783040,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783042,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783045,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783048,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783050,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783053,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783056,4,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,4,0,1
1623905783060,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783063,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783065,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783067,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783070,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783073,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783075,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783077,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783080,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783082,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783084,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783088,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783090,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783093,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905783096,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783099,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783101,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905783105,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783107,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905783109,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
